timestamp,user,event,source_ip
2024-04-18 15:35:00,frank,access_resource,172.16.0.52
2024-04-18 15:40:00,alice,logout,10.0.0.1
2024-04-18 15:45:00,eve,login,192.168.1.103
2024-04-18 16:00:00,bob,failed_login,10.0.1.5
2024-04-18 16:05:00,charlie,modify_policy,10.0.2.10
2024-04-18 16:10:00,root,disable_mfa,10.0.0.5
2024-04-18 16:15:00,dave,access_denied,10.0.3.21
2024-04-18 16:20:00,frank,failed_login,172.16.0.52
2024-04-18 16:25:00,alice,login,10.0.0.3
2024-04-18 16:30:00,eve,access_resource,192.168.1.103
2024-04-18 16:35:00,bob,login,10.0.1.6
2024-04-18 16:40:00,charlie,logout,10.0.2.10
2024-04-18 16:45:00,root,export_data,10.0.0.5
2024-04-18 17:00:00,dave,login,10.0.3.21
2024-04-18 17:05:00,frank,login,172.16.0.53
2024-04-18 17:10:00,alice,failed_login,10.0.0.3
2024-04-18 17:15:00,eve,failed_login,192.168.1.103
2024-04-18 17:20:00,bob,modify_config,10.0.1.6
2024-04-18 17:25:00,charlie,login,10.0.2.11
2024-04-18 17:30:00,root,delete_policy,10.0.0.5
2024-04-18 17:35:00,dave,access_resource,10.0.3.21
2024-04-18 17:40:00,frank,access_denied,172.16.0.53
2024-04-18 17:45:00,alice,login,10.0.0.3
2024-04-18 18:00:00,eve,login,192.168.1.104
2024-04-18 18:05:00,bob,failed_login,10.0.1.6
2024-04-18 18:10:00,charlie,access_denied,10.0.2.11
2024-04-18 18:15:00,root,create_backup,10.0.0.5
2024-04-18 18:20:00,dave,failed_login,10.0.3.21
2024-04-18 18:25:00,frank,login,172.16.0.54
2024-04-18 18:30:00,alice,access_resource,10.0.0.3
2024-04-18 18:35:00,eve,access_resource,192.168.1.104
2024-04-18 18:40:00,bob,login,10.0.1.6
2024-04-18 18:45:00,charlie,modify_policy,10.0.2.11
2024-04-18 19:00:00,root,disable_mfa,10.0.0.5
2024-04-18 19:05:00,dave,login,10.0.3.22
2024-04-18 19:10:00,frank,failed_login,172.16.0.54
2024-04-18 19:15:00,alice,logout,10.0.0.3
